subject,accuracy,f1,f1_macro,f1_weighted,auc,pr_auc,balanced_accuracy,sensitivity,specificity
s01,0.5,0.6153846153846154,0.45054945054945056,0.4835164835164836,0.4479166666666667,0.6067982753144663,0.4583333333333333,0.66666663888889,0.24999998437500096
s02,0.8,0.84,0.7866666666666666,0.7973333333333332,0.7864583333333333,0.8500476190123167,0.78125,0.8749999635416682,0.6874999570312527
s03,0.275,0.2926829268292683,0.27454659161976236,0.2636647904940588,0.48046875,0.3136869037884063,0.453125,0.7499999062500118,0.15624999511718765
s04,0.4,0.45454545454545453,0.3939393939393939,0.38181818181818183,0.3541666666666667,0.304481362462162,0.4375,0.6249999609375024,0.24999998958333375
s05,0.5,0.5,0.5,0.5,0.48370927318295737,0.46679171749431336,0.5012531328320802,0.5263157617728547,0.47619045351474026
s06,0.475,0.5333333333333333,0.4666666666666667,0.45666666666666667,0.42710997442455245,0.40509762932926874,0.5051150895140666,0.7058823114186875,0.3043478128544429
s07,0.6,0.7037037037037037,0.5441595441595442,0.584045584045584,0.6266666666666667,0.776219160184366,0.5466666666666666,0.7599999696000012,0.3333333111111126
s08,0.5,0.5652173913043478,0.48849104859335035,0.5038363171355499,0.4166666666666667,0.5698770379051566,0.4895833333333333,0.5416666440972231,0.4374999726562517
s09,0.55,0.6086956521739131,0.5396419437340154,0.5569053708439898,0.608,0.6735203124025513,0.5466666666666666,0.5599999776000009,0.5333332977777802
s10,0.575,0.6046511627906976,0.5725958516656191,0.575801382778127,0.6035353535353536,0.6447796264466362,0.5732323232323233,0.590909064049588,0.5555555246913597
s11,0.375,0.3902439024390244,0.37460913070669166,0.3707004377736085,0.33599999999999997,0.27952286418277567,0.4066666666666667,0.5333332977777802,0.27999998880000043
s12,0.525,0.6666666666666666,0.42028985507246375,0.5804347826086957,0.49783549783549785,0.8378765728566141,0.43073593073593075,0.5757575583103771,0.285714244897965
s13,0.625,0.7540983606557377,0.48231233822260566,0.672562553925798,0.45098039215686275,0.8323917125098506,0.5049019607843137,0.676470568339101,0.33333327777778704
s14,0.425,0.5660377358490566,0.35709294199860236,0.43022361984626134,0.3903133903133903,0.6342411442213313,0.3547008547008547,0.5555555349794246,0.15384614201183525
s15,0.525,0.5365853658536586,0.5247029393370857,0.5252970606629143,0.5162907268170427,0.48850764991279794,0.525062656641604,0.5238094988662143,0.5263157617728547
s16,0.5,0.5652173913043478,0.48849104859335035,0.4884910485933503,0.51,0.5460792484041898,0.5,0.6499999675000016,0.34999998250000086
s17,0.7,0.7692307692307693,0.6703296703296704,0.695054945054945,0.5840000000000001,0.614011121808886,0.6666666666666667,0.7999999680000013,0.5333332977777802
s18,0.45,0.56,0.41333333333333333,0.45,0.41866666666666674,0.5942767213926199,0.41333333333333333,0.5599999776000009,0.2666666488888901
s19,0.475,0.5714285714285714,0.4470046082949308,0.490552995391705,0.45868945868945865,0.6783796839918756,0.4515669515669516,0.5185184993141296,0.3846153550295881
s20,0.625,0.7457627118644068,0.5157384987893463,0.6422518159806294,0.5232974910394266,0.8009292097850222,0.521505376344086,0.7096773964620194,0.33333329629630043
s21,0.625,0.7457627118644068,0.5157384987893463,0.6537530266343825,0.5703125,0.8527211012788644,0.53125,0.6874999785156257,0.3749999531250059
s22,0.35,0.43478260869565216,0.3350383631713555,0.3599744245524297,0.3573333333333334,0.5610196315635483,0.33333333333333337,0.39999998400000064,0.2666666488888901
s23,0.375,0.32432432432432434,0.37146448774355756,0.3879635449402891,0.4017094017094017,0.2602905531249854,0.39743589743589747,0.4615384260355057,0.3333333209876548
s24,0.625,0.7457627118644068,0.5157384987893463,0.6652542372881356,0.5800865800865801,0.8497883139683868,0.5476190476190476,0.6666666464646471,0.4285713673469475
s25,0.575,0.7017543859649122,0.4813119755911518,0.591533180778032,0.49333333333333335,0.7861927106393737,0.4833333333333333,0.6666666444444451,0.299999970000003
s26,0.425,0.4888888888888889,0.41587301587301584,0.4049206349206349,0.3734015345268542,0.3347484826747248,0.4539641943734015,0.6470587854671302,0.2608695538752368
s27,0.55,0.64,0.52,0.562,0.4301994301994302,0.6065617374628494,0.5270655270655271,0.5925925706447196,0.4615384260355057
s28,0.55,0.5714285714285714,0.5488721804511278,0.5488721804511277,0.5774999999999999,0.6372656893921832,0.55,0.5999999700000015,0.4999999750000012
s29,0.425,0.43902439024390244,0.42464040025015637,0.4296747967479675,0.42735042735042733,0.6688195394540025,0.47435897435897434,0.3333333209876548,0.615384568047341
s30,0.525,0.5957446808510638,0.5099935525467441,0.5099935525467441,0.5575,0.5082315919335734,0.5249999999999999,0.6999999650000017,0.34999998250000086
s31,0.55,0.5263157894736842,0.5488721804511278,0.5488721804511277,0.5275000000000001,0.47850913934518197,0.55,0.4999999750000012,0.5999999700000015
s32,0.575,0.6666666666666666,0.5402298850574713,0.5908045977011493,0.5238095238095238,0.742290872937909,0.5535714285714286,0.6071428354591845,0.4999999583333368
